"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","17687","10. Remember Me - Session persists or username remembered","","Tue Jul 29 15:17:25 QYZT 2025","failed","Tue Jul 29 15:17:42 QYZT 2025","","Login Functionality - Automation Practice Site","",""
"","9791","9. Lost your password - Password reset flow","","Tue Jul 29 15:17:15 QYZT 2025","passed","Tue Jul 29 15:17:25 QYZT 2025","","Login Functionality - Automation Practice Site","",""
"","","Oops...we found an error preparing this test file: spies_stubs_clocks.cy.js","","","broken","","","spies_stubs_clocks.cy.js","",""
"","","Oops...we found an error preparing this test file: misc.cy.js","","","broken","","","misc.cy.js","",""
"","","Oops...we found an error preparing this test file: network_requests.cy.js","","","broken","","","network_requests.cy.js","",""
"","","Oops...we found an error preparing this test file: navigation.cy.js","","","broken","","","navigation.cy.js","",""
"","25563","1. Login with valid username and password","","Tue Jul 29 15:15:30 QYZT 2025","passed","Tue Jul 29 15:15:56 QYZT 2025","","Login Functionality - Automation Practice Site","",""
"","","Oops...we found an error preparing this test file: files.cy.js","","","broken","","","files.cy.js","",""
"","","Oops...we found an error preparing this test file: querying.cy.js","","","broken","","","querying.cy.js","",""
"","9423","5. Empty username and empty password","","Tue Jul 29 15:16:32 QYZT 2025","passed","Tue Jul 29 15:16:41 QYZT 2025","","Login Functionality - Automation Practice Site","",""
"","","Oops...we found an error preparing this test file: waiting.cy.js","","","broken","","","waiting.cy.js","",""
"","","Oops...we found an error preparing this test file: viewport.cy.js","","","broken","","","viewport.cy.js","",""
"","12571","7. Login is case-sensitive","","Tue Jul 29 15:16:46 QYZT 2025","failed","Tue Jul 29 15:16:59 QYZT 2025","","Login Functionality - Automation Practice Site","",""
"","9886","3. Valid username and empty password","","Tue Jul 29 15:16:09 QYZT 2025","passed","Tue Jul 29 15:16:19 QYZT 2025","","Login Functionality - Automation Practice Site","",""
"","","Oops...we found an error preparing this test file: utilities.cy.js","","","broken","","","utilities.cy.js","",""
"","11473","4. Empty username and valid password","","Tue Jul 29 15:16:20 QYZT 2025","passed","Tue Jul 29 15:16:31 QYZT 2025","","Login Functionality - Automation Practice Site","",""
"","","Oops...we found an error preparing this test file: traversal.cy.js","","","broken","","","traversal.cy.js","",""
"","","Oops...we found an error preparing this test file: location.cy.js","","","broken","","","location.cy.js","",""
"","4694","6. Password should be masked","","Tue Jul 29 15:16:41 QYZT 2025","passed","Tue Jul 29 15:16:46 QYZT 2025","","Login Functionality - Automation Practice Site","",""
"","","Oops...we found an error preparing this test file: storage.cy.js","","","broken","","","storage.cy.js","",""
"","13074","2. Invalid username and invalid password","","Tue Jul 29 15:15:56 QYZT 2025","passed","Tue Jul 29 15:16:09 QYZT 2025","","Login Functionality - Automation Practice Site","",""
"","15710","8. Login-Authentication and Back Button Check after Logout","","Tue Jul 29 15:16:59 QYZT 2025","passed","Tue Jul 29 15:17:15 QYZT 2025","","Login Functionality - Automation Practice Site","",""
